date,kind,count,tokens_spent
2026-03-24,bugfix,3,5419
2026-03-24,change,8,15743
2026-03-24,decision,1,2666
2026-03-24,discovery,12,21586
2026-03-24,feature,23,51244
2026-03-24,refactor,1,955
2026-03-25,bugfix,35,48578
2026-03-25,change,40,49119
2026-03-25,decision,3,8373
2026-03-25,discovery,97,124577
2026-03-25,feature,15,19469
2026-03-25,refactor,9,10128
2026-03-26,bugfix,4,4650
2026-03-26,change,18,25224
2026-03-26,decision,11,14379
2026-03-26,discovery,33,62302
2026-03-26,feature,22,24011
2026-03-26,refactor,11,22657
2026-03-27,bugfix,6,8243
2026-03-27,change,17,29760
2026-03-27,decision,1,1213
2026-03-27,discovery,25,45490
2026-03-27,feature,7,11318
2026-03-27,refactor,1,1565
2026-03-28,bugfix,23,54206
2026-03-28,change,36,71410
2026-03-28,decision,15,32274
2026-03-28,discovery,73,164386
2026-03-28,feature,37,49151
2026-03-28,refactor,6,8341
2026-03-29,bugfix,20,30629
2026-03-29,change,36,56286
2026-03-29,decision,4,7763
2026-03-29,discovery,49,114018
2026-03-29,feature,11,16312
2026-03-29,refactor,6,7802
2026-03-30,bugfix,2,1953
2026-03-30,change,14,22956
2026-03-30,discovery,18,38174
2026-03-30,feature,12,37260
2026-03-30,refactor,2,2600
2026-03-31,bugfix,10,16018
2026-03-31,change,20,31004
2026-03-31,decision,4,10382
2026-03-31,discovery,36,69750
2026-03-31,feature,22,27891
2026-04-01,bugfix,34,208558
2026-04-01,change,49,138039
2026-04-01,decision,7,16731
2026-04-01,discovery,58,153638
2026-04-01,feature,29,66752
2026-04-01,refactor,1,707
2026-04-02,bugfix,15,161020
2026-04-02,change,42,376231
2026-04-02,decision,14,77482
2026-04-02,discovery,71,841868
2026-04-02,feature,14,134831
2026-04-02,refactor,4,21677
2026-04-03,bugfix,1,2793
2026-04-03,change,1,3305
2026-04-03,decision,8,48584
2026-04-03,discovery,5,61459
2026-04-03,feature,2,16154
2026-04-03,refactor,2,21233
2026-04-04,bugfix,20,457801
2026-04-04,change,35,522265
2026-04-04,decision,20,312579
2026-04-04,discovery,90,455483
2026-04-04,feature,29,1117549
2026-04-04,refactor,6,146487
2026-04-05,bugfix,34,444320
2026-04-05,change,31,211756
2026-04-05,decision,4,24770
2026-04-05,discovery,61,503688
2026-04-05,feature,27,367807
2026-04-05,refactor,4,74568
2026-04-07,bugfix,19,289499
2026-04-07,change,61,580928
2026-04-07,decision,11,272604
2026-04-07,discovery,182,1241327
2026-04-07,feature,50,1060924
2026-04-07,refactor,2,12634
2026-04-08,bugfix,39,189341
2026-04-08,change,154,746961
2026-04-08,decision,5,60021
2026-04-08,discovery,405,1261572
2026-04-08,feature,47,383716
2026-04-08,refactor,16,275547
2026-04-09,architecture,1,0
2026-04-09,bugfix,7,30110
2026-04-09,change,27,57660
2026-04-09,decision,4,1108
2026-04-09,discovery,64,132140
2026-04-09,feature,14,189368
2026-04-10,architecture,1,0
2026-04-10,bugfix,18,253123
2026-04-10,change,44,419666
2026-04-10,decision,12,58282
2026-04-10,discovery,151,961240
2026-04-10,feature,28,500283
2026-04-10,pattern,1,0
2026-04-11,bugfix,16,73061
2026-04-11,change,62,297403
2026-04-11,decision,12,59639
2026-04-11,discovery,126,566907
2026-04-11,feature,37,207669
2026-04-11,refactor,10,57879
2026-04-12,bugfix,24,158012
2026-04-12,change,56,220894
2026-04-12,decision,12,133368
2026-04-12,discovery,152,889192
2026-04-12,feature,26,510130
2026-04-12,refactor,2,11614
2026-04-13,bugfix,32,384793
2026-04-13,change,57,254369
2026-04-13,decision,11,98229
2026-04-13,discovery,173,925002
2026-04-13,feature,28,401911
2026-04-13,refactor,7,106644
2026-04-14,bugfix,51,424730
2026-04-14,change,83,400491
2026-04-14,decision,14,105630
2026-04-14,discovery,428,1594619
2026-04-14,feature,63,376408
2026-04-14,refactor,9,107711
2026-04-15,bugfix,2,27764
2026-04-15,change,28,113620
2026-04-15,discovery,84,317765
2026-04-15,feature,6,14810
2026-04-16,bugfix,4,16869
2026-04-16,change,17,224175
2026-04-16,decision,2,9141
2026-04-16,discovery,67,208163
2026-04-16,feature,5,288571
2026-04-16,session,1,0
2026-04-17,bugfix,24,140216
2026-04-17,change,49,358527
2026-04-17,decision,7,36726
2026-04-17,discovery,217,1090705
2026-04-17,feature,42,437071
2026-04-17,refactor,8,149894
2026-04-18,bugfix,4,14796
2026-04-18,change,15,54262
2026-04-18,decision,5,19305
2026-04-18,discovery,232,256219
2026-04-18,feature,7,41502
2026-04-18,pattern,359,0
2026-04-18,refactor,1,1545
2026-04-19,bugfix,21,336037
2026-04-19,change,66,629214
2026-04-19,decision,17,199196
2026-04-19,discovery,708,2534625
2026-04-19,feature,43,434122
2026-04-19,infra,1,0
2026-04-19,pattern,2138,0
2026-04-19,project,1,0
2026-04-19,refactor,1,3557
2026-04-19,research,1,0
2026-04-20,bugfix,30,291013
2026-04-20,change,68,423953
2026-04-20,decision,12,91182
2026-04-20,discovery,295,1521254
2026-04-20,feature,28,344855
2026-04-20,pattern,552,0
2026-04-20,refactor,5,92542
2026-04-21,bugfix,43,354265
2026-04-21,change,99,626884
2026-04-21,decision,20,220471
2026-04-21,discovery,330,1908663
2026-04-21,feature,41,413211
2026-04-21,pattern,173,0
2026-04-21,refactor,3,39423
2026-04-22,bugfix,17,155084
2026-04-22,change,58,461306
2026-04-22,decision,19,276719
2026-04-22,discovery,234,2415173
2026-04-22,feature,8,91827
2026-04-22,pattern,174,0
2026-04-23,bugfix,23,314304
2026-04-23,change,35,213379
2026-04-23,decision,14,154356
2026-04-23,discovery,211,1973312
2026-04-23,feature,20,193289
2026-04-23,pattern,181,0
2026-04-23,refactor,2,11102
2026-04-24,bugfix,96,837170
2026-04-24,change,92,891455
2026-04-24,decision,35,626380
2026-04-24,discovery,493,4798934
2026-04-24,feature,44,1210301
2026-04-24,pattern,145,0
2026-04-24,refactor,7,158685
2026-04-25,bugfix,39,870800
2026-04-25,change,141,1361226
2026-04-25,decision,44,374019
2026-04-25,discovery,380,2464067
2026-04-25,feature,58,455542
2026-04-25,pattern,114,0
2026-04-25,refactor,2,17021
2026-04-26,bugfix,54,553689
2026-04-26,change,173,1473370
2026-04-26,decision,86,1249327
2026-04-26,discovery,539,5261293
2026-04-26,feature,90,899636
2026-04-26,pattern,29,0
2026-04-26,refactor,3,46067
2026-04-27,bugfix,10,132128
2026-04-27,change,75,654067
2026-04-27,decision,8,53248
2026-04-27,discovery,287,2168270
2026-04-27,feature,26,132348
2026-04-27,pattern,125,0
2026-04-27,refactor,1,11161
2026-04-28,bugfix,3,63317
2026-04-28,change,10,160647
2026-04-28,decision,5,65138
2026-04-28,discovery,97,2116282
2026-04-28,feature,16,298589
2026-04-28,pattern,98,0
2026-04-29,pattern,82,0
2026-04-30,bugfix,33,283485
2026-04-30,change,158,1080260
2026-04-30,decision,46,575131
2026-04-30,discovery,486,3168527
2026-04-30,feature,53,999782
2026-04-30,pattern,25,0
2026-04-30,refactor,2,14071
2026-05-01,bugfix,64,803596
2026-05-01,change,216,2187776
2026-05-01,decision,47,478926
2026-05-01,discovery,867,6659730
2026-05-01,feature,124,1712324
2026-05-01,pattern,4,0
2026-05-01,refactor,14,172049
2026-05-02,bugfix,39,762674
2026-05-02,change,73,931823
2026-05-02,decision,34,377227
2026-05-02,discovery,323,3607564
2026-05-02,feature,65,1981511
2026-05-02,pattern,37,0
2026-05-02,refactor,2,71165
2026-05-03,bugfix,13,343493
2026-05-03,change,51,379269
2026-05-03,decision,25,226635
2026-05-03,discovery,176,728350
2026-05-03,feature,11,176717
2026-05-03,pattern,1,0
2026-05-03,refactor,2,3425
2026-05-04,change,11,120993
2026-05-04,decision,9,120638
2026-05-04,discovery,71,712946
2026-05-04,feature,4,30214
2026-05-04,pattern,41,0
2026-05-05,bugfix,3,14925
2026-05-05,change,4,171264
2026-05-05,decision,3,44369
2026-05-05,discovery,22,547925
2026-05-05,feature,5,30902
2026-05-05,pattern,5,0
2026-05-06,bugfix,2,5930
2026-05-06,change,8,30808
2026-05-06,decision,1,727
2026-05-06,discovery,28,263561
2026-05-06,feature,8,52677
2026-05-06,pattern,84,0
2026-05-06,refactor,2,23633
2026-05-07,bugfix,37,305958
2026-05-07,change,69,606852
2026-05-07,decision,11,118216
2026-05-07,discovery,274,1604384
2026-05-07,feature,42,203532
2026-05-07,pattern,17,0
2026-05-07,refactor,4,106908
2026-05-08,bugfix,39,229849
2026-05-08,change,147,877887
2026-05-08,decision,28,253545
2026-05-08,discovery,373,2264815
2026-05-08,feature,35,262349
2026-05-08,pattern,27,0
2026-05-08,refactor,1,8322
2026-05-09,feature,3,22719
2026-05-09,pattern,36,0
2026-05-10,feature,1,7558
2026-05-11,bugfix,4,43826
2026-05-11,change,11,95031
2026-05-11,decision,5,92932
2026-05-11,discovery,54,547412
2026-05-11,feature,4,30342
2026-05-11,pattern,47,0
2026-05-12,bugfix,21,148886
2026-05-12,change,80,553449
2026-05-12,decision,32,146036
2026-05-12,discovery,255,1146755
2026-05-12,feature,46,239275
2026-05-12,pattern,47,0
2026-05-12,refactor,5,50286
2026-05-13,bugfix,13,69796
2026-05-13,change,12,60401
2026-05-13,decision,4,0
2026-05-13,discovery,82,63926
2026-05-13,feature,3,0
2026-05-13,pattern,1,0
2026-05-13,refactor,4,0
2026-05-14,bugfix,5,8935
2026-05-14,change,9,54216
2026-05-14,discovery,81,255213
2026-05-14,refactor,1,0
2026-05-15,bugfix,6,0
2026-05-15,discovery,25,0
2026-05-15,refactor,1,0
2026-05-16,bugfix,3,0
2026-05-16,discovery,23,0
2026-05-16,feature,1,0
2026-05-17,change,1,0
2026-05-17,discovery,47,0
